ZIPCODE,ZC_LATITUDE,ZC_LONGITUDE,AUTONOMOUS_COMMUNITY,AUTONOMOUS_COMMUNITY_NK,PROVINCE
06610,38.8167,-5.1167,Extremadura,EX,Badajoz
06600,38.7167,-5.2167,Extremadura,EX,Badajoz
06519,39.9,-6.8167,Extremadura,EX,Badajoz
06518,39.2,-7.1667,Extremadura,EX,Badajoz
06510,39.2167,-7,Extremadura,EX,Badajoz
06509,39.25,-7.1333,Extremadura,EX,Badajoz
06500,39.35,-7.1333,Extremadura,EX,Badajoz
06499,38.875,-6.6167,Extremadura,EX,Badajoz
06498,38.85,-6.6167,Extremadura,EX,Badajoz
06490,38.9,-6.6167,Extremadura,EX,Badajoz
06489,39.15,-6.4333,Extremadura,EX,Badajoz
06488,39.15,-6.3333,Extremadura,EX,Badajoz
06487,39.15,-6.4333,Extremadura,EX,Badajoz
06486,39.0667,-6.5,Extremadura,EX,Badajoz
06480,38.9167,-6.6167,Extremadura,EX,Badajoz
06479,38.8333,-6.1,Extremadura,EX,Badajoz
06478,38.8167,-6.0167,Extremadura,EX,Badajoz
06477,38.6667,-6.1,Extremadura,EX,Badajoz
06476,38.6833,-6.1333,Extremadura,EX,Badajoz
06475,38.7833,-6.1167,Extremadura,EX,Badajoz
06474,38.9167,-6.0667,Extremadura,EX,Badajoz
06473,38.8667,-6.2,Extremadura,EX,Badajoz
06470,38.85,-6.1,Extremadura,EX,Badajoz
06469,38.9167,-5.6667,Extremadura,EX,Badajoz
06468,38.9,-5.7333,Extremadura,EX,Badajoz
06460,38.8667,-5.6167,Extremadura,EX,Badajoz
06459,38.8,-5.7,Extremadura,EX,Badajoz
06458,38.7,-5.8,Extremadura,EX,Badajoz
06450,38.7333,-5.6667,Extremadura,EX,Badajoz
06445,38.3667,-6,Extremadura,EX,Badajoz
06444,38.4,-6,Extremadura,EX,Badajoz
06443,38.5,-5.8333,Extremadura,EX,Badajoz
06442,38.5167,-5.84,Extremadura,EX,Badajoz
06441,38.65,-5.7333,Extremadura,EX,Badajoz
06440,38.6667,-5.6333,Extremadura,EX,Badajoz
06439,38.65,-5.6,Extremadura,EX,Badajoz
06430,38.65,-5.65,Extremadura,EX,Badajoz
06429,38.7,-5.4833,Extremadura,EX,Badajoz
06428,38.6333,-5.55,Extremadura,EX,Badajoz
06427,38.5833,-5.4333,Extremadura,EX,Badajoz
06420,38.7167,-5.55,Extremadura,EX,Badajoz
06413,38.9333,-5.9333,Extremadura,EX,Badajoz
06412,39.0625,-5.9125,Extremadura,EX,Badajoz
06411,38.95,-5.9667,Extremadura,EX,Badajoz
06410,39.1833,-5.875,Extremadura,EX,Badajoz
06400,38.95,-5.8667,Extremadura,EX,Badajoz
06394,38.15,-6.55,Extremadura,EX,Badajoz
06393,38.4,-6.4667,Extremadura,EX,Badajoz
06392,38.3792,-6.525,Extremadura,EX,Badajoz
06391,38.45,-6.5167,Extremadura,EX,Badajoz
06390,38.5167,-6.5667,Extremadura,EX,Badajoz
06389,38.3167,-6.7667,Extremadura,EX,Badajoz
06380,38.3167,-6.7667,Extremadura,EX,Badajoz
06378,38.3167,-6.5333,Extremadura,EX,Badajoz
06370,38.3833,-6.5833,Extremadura,EX,Badajoz
06360,38.5333,-6.45,Extremadura,EX,Badajoz
06350,38.1333,-6.6833,Extremadura,EX,Badajoz
06340,38.1667,-6.65,Extremadura,EX,Badajoz
06330,38.2667,-6.4667,Extremadura,EX,Badajoz
06329,38.3333,-6.4667,Extremadura,EX,Badajoz
06320,38.3333,-6.4,Extremadura,EX,Badajoz
06310,38.4,-6.4,Extremadura,EX,Badajoz
06300,38.4167,-6.4167,Extremadura,EX,Badajoz
06293,38.0833,-6.4167,Extremadura,EX,Badajoz
06292,38.1,-6.3333,Extremadura,EX,Badajoz
06291,38.15,-6.2,Extremadura,EX,Badajoz
06290,38.35,-6.1667,Extremadura,EX,Badajoz
06280,38.0667,-6.5333,Extremadura,EX,Badajoz
06270,38.1167,-6.5167,Extremadura,EX,Badajoz
06260,38.0833,-6.2667,Extremadura,EX,Badajoz
06250,38.3,-6.2,Extremadura,EX,Badajoz
06249,38.3,-6.3167,Extremadura,EX,Badajoz
06240,38.25,-6.3,Extremadura,EX,Badajoz
06230,38.45,-6.3833,Extremadura,EX,Badajoz
06229,38.5667,-6.2,Extremadura,EX,Badajoz
06228,38.55,-6.0667,Extremadura,EX,Badajoz
06227,38.45,-6.05,Extremadura,EX,Badajoz
06226,38.4833,-6.1833,Extremadura,EX,Badajoz
06225,38.55,-6.2333,Extremadura,EX,Badajoz
06220,38.5667,-6.3333,Extremadura,EX,Badajoz
06210,38.7833,-6.3667,Extremadura,EX,Badajoz
06209,38.7167,-6.5333,Extremadura,EX,Badajoz
06208,38.6167,-6.5,Extremadura,EX,Badajoz
06207,38.65,-6.4833,Extremadura,EX,Badajoz
06200,38.6833,-6.4,Extremadura,EX,Badajoz
06197,38.7167,-6.7167,Extremadura,EX,Badajoz
06196,38.7333,-6.6417,Extremadura,EX,Badajoz
06195,38.9187,-6.7208,Extremadura,EX,Badajoz
06194,38.9187,-6.7208,Extremadura,EX,Badajoz
06193,39.05,-6.9,Extremadura,EX,Badajoz
06192,39.1333,-6.85,Extremadura,EX,Badajoz
06191,39.1833,-6.6333,Extremadura,EX,Badajoz
06190,39.1167,-6.6833,Extremadura,EX,Badajoz
06187,38.9333,-6.7,Extremadura,EX,Badajoz
06186,38.9333,-6.7,Extremadura,EX,Badajoz
06185,38.9333,-6.7,Extremadura,EX,Badajoz
06184,38.9333,-6.7,Extremadura,EX,Badajoz
06183,38.9333,-6.7,Extremadura,EX,Badajoz
06182,38.9333,-6.7,Extremadura,EX,Badajoz
06181,38.9333,-6.7,Extremadura,EX,Badajoz
06180,38.9333,-6.7,Extremadura,EX,Badajoz
06178,38.3667,-6.7833,Extremadura,EX,Badajoz
06177,38.3833,-6.8,Extremadura,EX,Badajoz
